epsilon,classifier,roc_auc,pr_auc,f1,precision,recall,accuracy,salem_attack_auc,yeom_attack_auc,fit_seconds,dataset
0.01,RandomForest,0.4411091104774826,0.02102890137502042,0.0,0.0,0.0,0.9760917296901683,0.5156376986014772,0.5285601228106439,1.35,creditcard-openml
0.01,AdaptiveGB,0.47472188075430133,0.02245264003789631,0.0,0.0,0.0,0.9760917296901683,0.45556476356314424,0.4597189015629931,2.11,creditcard-openml
0.01,GaussianNB,0.46654152788333525,0.022482031476503614,0.0,0.0,0.0,0.9758477677482312,0.5170777227988833,0.5194188408730707,0.03,creditcard-openml
0.01,DecisionTree,0.5035807374686941,0.024162461453786862,0.026143790849673203,0.03636363636363636,0.02040816326530612,0.9636496706513784,0.5,0.5181751646743108,1.23,creditcard-openml
0.01,KNeighbors,0.5088893592928297,0.02465833353803712,0.0,0.0,0.0,0.9760917296901683,0.4969123250537249,0.5073593598686236,2.07,creditcard-openml
0.1,RandomForest,0.4791901514417314,0.022544233234910595,0.0,0.0,0.0,0.9760917296901683,0.5157837246138077,0.52781633349901,1.29,creditcard-openml
0.1,AdaptiveGB,0.47467724905508324,0.022447157458602887,0.0,0.0,0.0,0.9760917296901683,0.45558244023959094,0.4597346439229938,2.09,creditcard-openml
0.1,GaussianNB,0.4661870246724033,0.02245736608393615,0.0,0.0,0.0,0.9758477677482312,0.5170956970624756,0.5194385411421073,0.03,creditcard-openml
0.1,DecisionTree,0.5035807374686941,0.024162461453786862,0.026143790849673203,0.03636363636363636,0.02040816326530612,0.9636496706513784,0.5,0.5181751646743108,1.2,creditcard-openml
0.1,KNeighbors,0.5088893592928297,0.02465833353803712,0.0,0.0,0.0,0.9760917296901683,0.4969123250537249,0.5073593598686236,0.45,creditcard-openml
1.0,RandomForest,0.45295946421557876,0.02173018307361487,0.0,0.0,0.0,0.9760917296901683,0.5186993644312297,0.5312861996163388,1.27,creditcard-openml
1.0,AdaptiveGB,0.47610036266443595,0.022559979642157318,0.0,0.0,0.0,0.9760917296901683,0.45401867930705764,0.45817213285647174,2.1,creditcard-openml
1.0,GaussianNB,0.4636238899458809,0.02229702367953954,0.0,0.0,0.0,0.9758477677482312,0.5172370509566206,0.5195944172889562,0.03,creditcard-openml
1.0,DecisionTree,0.4921269682579355,0.023908270309831666,0.0,0.0,0.0,0.9607221273481337,0.5,0.5196389363259332,1.16,creditcard-openml
1.0,KNeighbors,0.5092604399920427,0.024680036187623728,0.0,0.0,0.0,0.9760917296901683,0.4964269009018736,0.5068859284787387,0.44,creditcard-openml
10.0,RandomForest,0.4965518824375539,0.023953844167401452,0.0,0.0,0.0,0.9760917296901683,0.5211748133429267,0.5326637900306044,1.24,creditcard-openml
10.0,AdaptiveGB,0.506845227468643,0.02428107978618759,0.0,0.0,0.0,0.9760917296901683,0.46996158328502996,0.4731553480487003,2.06,creditcard-openml
10.0,GaussianNB,0.46170600207091084,0.022310991389135316,0.0,0.0,0.0,0.9758477677482312,0.5164755254511109,0.5189438917887433,0.03,creditcard-openml
10.0,DecisionTree,0.5054552688358522,0.024440754589222853,0.028985507246376812,0.05,0.02040816326530612,0.9673090997804342,0.5,0.5163454501097828,0.91,creditcard-openml
10.0,KNeighbors,0.499978321746094,0.02425028610986952,0.0,0.0,0.0,0.9760917296901683,0.4958573191052554,0.5065517976316943,0.45,creditcard-openml
100.0,RandomForest,0.7812676932807614,0.4280582360052416,0.23423423423423423,1.0,0.1326530612244898,0.9792632349353501,0.5066995794081837,0.512059213176016,0.89,creditcard-openml
100.0,AdaptiveGB,0.8065228590811481,0.45723862835044754,0.3103448275862069,1.0,0.1836734693877551,0.9804830446450353,0.4689625534786419,0.470814825148804,2.22,creditcard-openml
100.0,GaussianNB,0.8075226091436324,0.3180691483730583,0.31007751937984496,0.6451612903225806,0.20408163265306123,0.9782873871676019,0.4687349290709966,0.4697205972145486,0.04,creditcard-openml
100.0,DecisionTree,0.5969170972562982,0.0859410421770122,0.25157232704402516,0.32786885245901637,0.20408163265306123,0.9709685289094901,0.5,0.514515735545255,0.66,creditcard-openml
100.0,KNeighbors,0.5751852853113252,0.05534802948806364,0.020202020202020204,1.0,0.01020408163265306,0.9763356916321054,0.48154302029883583,0.49159658538986384,0.46,creditcard-openml
1000.0,RandomForest,0.9675055725864452,0.9103114281955742,0.8863636363636364,1.0,0.7959183673469388,0.9951207611612588,0.4962341537076889,0.49703820441630037,1.11,creditcard-openml
1000.0,AdaptiveGB,0.9666817989380205,0.8784085810195933,0.8715083798882681,0.9629629629629629,0.7959183673469388,0.9943888753354476,0.4638169146271878,0.4644470554079292,2.16,creditcard-openml
1000.0,GaussianNB,0.9683931058051813,0.8406507251363645,0.7902439024390244,0.7570093457943925,0.826530612244898,0.9895096364967065,0.3564861588349963,0.35603805211119927,0.03,creditcard-openml
1000.0,DecisionTree,0.9018115369116906,0.7201821698112733,0.8449197860962567,0.8876404494382022,0.8061224489795918,0.9929251036838254,0.5,0.5035374481580873,0.78,creditcard-openml
1000.0,KNeighbors,0.9278063137276906,0.8444466164889448,0.8604651162790697,1.0,0.7551020408163265,0.9941449133935106,0.496208293384739,0.4979322752364464,0.45,creditcard-openml
inf,RandomForest,0.9769662176292662,0.9212176086199534,0.9289617486338798,1.0,0.8673469387755102,0.9968284947548183,0.5457912517830678,0.5462645046206652,0.97,creditcard-openml
inf,AdaptiveGB,0.9728307718988619,0.9181312722324784,0.8804347826086957,0.9418604651162791,0.826530612244898,0.9946328372773847,0.4958700260763712,0.4964979349535208,2.12,creditcard-openml
inf,GaussianNB,0.9631941504419813,0.5818137390946729,0.625,0.4885057471264368,0.8673469387755102,0.9751158819224202,0.5019555939271034,0.4979930722902861,0.03,creditcard-openml
inf,DecisionTree,0.9310491254737335,0.6986855599236569,0.8333333333333334,0.8018867924528302,0.8673469387755102,0.9917052939741401,0.5,0.5041473530129299,0.56,creditcard-openml
inf,KNeighbors,0.9432374049344807,0.8896269950904356,0.898876404494382,1.0,0.8163265306122449,0.995608685045133,0.49938822034614033,0.5007242973535992,0.47,creditcard-openml
